purchase_id,customer_id,product_id,purchased_at,quantity,rating,review,is_holdout
O0001,C001,P131,2025-12-26,1,3,기대가 컸나 봐요. 건성인데 자극 없이 잘 썼어요.,0
O0002,C001,P106,2026-07-09,1,4,고민하다 샀는데 잘 산 것 같아요. 겉돌던 게 없어졌다는 게 느껴져요.,1
O0003,C002,P095,2025-08-07,2,5,고민하다 샀는데 잘 산 것 같아요. 향이 세지 않아서 좋아요.,0
O0004,C002,P058,2025-10-29,1,5,친구가 좋다고 해서 샀는데 만족해요. 건성인데 자극 없이 잘 썼어요.,0
O0005,C002,P038,2026-01-19,2,5,친구가 좋다고 해서 샀는데 만족해요. 눈가가 덜 접힌다는 게 느껴져요.,1
O0006,C003,P196,2025-09-26,1,2,환불 고민 중입니다. 생각보다 끈적여서 아침엔 못 쓰겠어요.,0
O0007,C003,P040,2025-10-24,1,5,친구가 좋다고 해서 샀는데 만족해요. 겉돌던 게 없어졌다는 게 느껴져요.,0
O0008,C003,P058,2026-03-10,2,5,고민하다 샀는데 잘 산 것 같아요. 향이 세지 않아서 좋아요.,0
O0009,C003,P068,2026-05-30,1,5,샘플 써보고 본품 구매했어요. 탱탱한 느낌이 오래간다는 게 느껴져요.,1
O0010,C004,P179,2025-07-20,1,5,재구매입니다. 결이 정돈된 느낌이 든다는 게 느껴져요. 천안 사는 권보민입니다. 배송 빨랐어요.,0
O0011,C004,P166,2025-07-20,1,5,재구매입니다. 녹차 들어간 거 찾다가 샀는데 만족합니다. 샘플 문의는 bomin54@example.com 로 주세요.,0
O0012,C004,P184,2025-08-15,1,2,광고를 너무 믿었나 봐요. 중성이라 그런지 발랐더니 조금 따가웠어요.,0
O0013,C004,P133,2025-08-28,1,3,기대가 컸나 봐요. 중성인데 자극 없이 잘 썼어요. 천안 일산동 사는데 근처 매장에도 있더라고요.,0
O0014,C004,P045,2025-09-30,1,4,고민하다 샀는데 잘 산 것 같아요. 비타민C 들어간 거 찾다가 샀는데 만족합니다.,0
O0015,C004,P035,2026-01-02,1,4,고민하다 샀는데 잘 산 것 같아요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요. 저는 권보민인데 벌써 세 번째 재구매예요.,0
O0016,C004,P090,2026-01-05,1,3,가격 생각하면 이 정도는 하는 것 같아요. 중성인데 자극 없이 잘 썼어요. 궁금하신 분은 010-7600-2955으로 문자주세요.,0
O0017,C004,P071,2026-02-18,1,5,친구가 좋다고 해서 샀는데 만족해요. 가볍게 스미는 제형이라 아침에 쓰기 좋아요. 천안 사는 권보민입니다. 배송 빨랐어요.,1
O0018,C005,P032,2025-07-17,1,3,기대가 컸나 봐요. 산뜻한 제형이라 아침에 쓰기 좋아요. 재고 문의는 010 8202 9049 로 부탁드려요.,0
O0019,C005,P175,2025-09-21,1,2,광고를 너무 믿었나 봐요. 향이 저한테는 좀 강했어요.,0
O0020,C005,P139,2026-01-04,1,1,광고를 너무 믿었나 봐요. 중성이라 그런지 발랐더니 조금 따가웠어요. 재고 문의는 010 8202 9049 로 부탁드려요.,0
O0021,C005,P123,2026-07-02,1,5,"친구가 좋다고 해서 샀는데 만족해요. 녹차 들어간 거 찾다가 샀는데 만족합니다. 이은수이라고 하고요, 매장 직원분이 친절했어요.",0
O0022,C005,P141,2026-07-24,1,5,샘플 써보고 본품 구매했어요. 중성인데 자극 없이 잘 썼어요.,1
O0023,C006,P183,2025-07-10,1,2,다음엔 다른 거 살 것 같아요. 용량 대비 가격이 아쉬워요. 이다은님이 추천해줘서 샀어요.,0
O0024,C006,P048,2025-08-16,1,3,기대가 컸나 봐요. 눈가가 덜 접힌다는 게 느껴져요.,0
O0025,C006,P064,2025-09-28,2,4,재구매입니다. 중성인데 자극 없이 잘 썼어요. 광주 사는 이혜원입니다. 배송 빨랐어요.,0
O0026,C006,P144,2025-10-17,2,4,재구매입니다. 탱탱한 느낌이 오래간다는 게 느껴져요.,0
O0027,C006,P051,2025-11-02,1,5,재구매입니다. 향이 세지 않아서 좋아요.,0
O0028,C006,P197,2025-12-22,1,5,샘플 써보고 본품 구매했어요. 눈가가 덜 접힌다는 게 느껴져요.,0
O0029,C006,P141,2026-01-04,1,5,샘플 써보고 본품 구매했어요. 향이 세지 않아서 좋아요. 샘플 문의는 hyewon2@example.com 로 주세요.,0
O0030,C006,P061,2026-06-26,1,5,"재구매입니다. 산뜻한 제형이라 아침에 쓰기 좋아요. 이혜원이라고 하고요, 매장 직원분이 친절했어요.",1
O0031,C007,P157,2025-09-16,1,3,무난해요. 향이 세지 않아서 좋아요.,0
O0032,C007,P057,2025-11-29,1,4,두 통째 쓰는 중이에요. 향이 세지 않아서 좋아요.,0
O0033,C007,P149,2026-05-29,1,5,두 통째 쓰는 중이에요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요.,0
O0034,C007,P140,2026-06-07,1,4,고민하다 샀는데 잘 산 것 같아요. 히알루론산 들어간 거 찾다가 샀는데 만족합니다.,1
O0035,C008,P104,2025-11-06,3,5,두 통째 쓰는 중이에요. 콜라겐 들어간 거 찾다가 샀는데 만족합니다.,0
O0036,C008,P145,2025-12-19,1,4,재구매입니다. 민감성인데 자극 없이 잘 썼어요.,0
O0037,C008,P194,2026-03-26,1,5,친구가 좋다고 해서 샀는데 만족해요. 산뜻한 제형이라 아침에 쓰기 좋아요.,0
O0038,C008,P012,2026-04-09,1,5,재구매입니다. 민감성인데 자극 없이 잘 썼어요. 안준서 언니가 쓰는 거 보고 따라 샀습니다.,1
O0039,C009,P100,2026-01-31,1,4,친구가 좋다고 해서 샀는데 만족해요. 물처럼 묽은 제형이라 아침에 쓰기 좋아요.,0
O0040,C009,P170,2026-07-23,1,2,저랑은 안 맞았어요. 지성이라 그런지 발랐더니 조금 따가웠어요.,1
O0041,C010,P082,2025-08-15,1,5,재구매입니다. 녹차 들어간 거 찾다가 샀는데 만족합니다.,0
O0042,C010,P100,2025-09-22,3,1,광고를 너무 믿었나 봐요. 용량 대비 가격이 아쉬워요.,0
O0043,C010,P118,2025-11-25,1,2,환불 고민 중입니다. 얼굴이 한 톤 밝아 보인다는 잘 모르겠어요.,0
O0044,C010,P194,2025-12-21,1,5,재구매입니다. 녹차 들어간 거 찾다가 샀는데 만족합니다. 정태윤님이 추천해줘서 샀어요.,0
O0045,C010,P089,2026-04-28,3,4,샘플 써보고 본품 구매했어요. 중성인데 자극 없이 잘 썼어요. 궁금하신 분은 010-9367-6259으로 문자주세요.,0
O0046,C010,P123,2026-06-27,1,5,재구매입니다. 향이 세지 않아서 좋아요. 안지은 언니가 쓰는 거 보고 따라 샀습니다.,1
O0047,C011,P095,2025-09-29,1,2,다음엔 다른 거 살 것 같아요. 용량 대비 가격이 아쉬워요.,0
O0048,C011,P149,2025-11-30,3,3,기대가 컸나 봐요. 향이 세지 않아서 좋아요. 재고 문의는 010 9338 5764 로 부탁드려요.,0
O0049,C011,P009,2026-04-26,1,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,1
O0050,C012,P191,2025-08-14,1,5,친구가 좋다고 해서 샀는데 만족해요. 산뜻한 제형이라 아침에 쓰기 좋아요.,0
O0051,C012,P001,2025-10-08,1,5,재구매입니다. 비타민C 들어간 거 찾다가 샀는데 만족합니다.,0
O0052,C012,P058,2026-01-11,1,5,두 통째 쓰는 중이에요. 눈가가 덜 접힌다는 게 느껴져요.,0
O0053,C012,P085,2026-05-21,1,3,나쁘진 않은데 특별하진 않네요. 레티놀 들어간 거 찾다가 샀는데 만족합니다. 수원 불당동 사는데 근처 매장에도 있더라고요.,0
O0054,C012,P096,2026-06-23,1,4,친구가 좋다고 해서 샀는데 만족해요. 레티놀 들어간 거 찾다가 샀는데 만족합니다.,0
O0055,C012,P149,2026-07-15,2,5,고민하다 샀는데 잘 산 것 같아요. 탱탱한 느낌이 오래간다는 게 느껴져요. 궁금하신 분은 010-2982-1557으로 문자주세요.,1
O0056,C013,P004,2025-09-25,3,2,다음엔 다른 거 살 것 같아요. 탱탱한 느낌이 오래간다는 잘 모르겠어요.,0
O0057,C013,P136,2025-11-06,1,4,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,0
O0058,C013,P144,2025-12-09,1,4,샘플 써보고 본품 구매했어요. 산뜻한 제형이라 아침에 쓰기 좋아요.,0
O0059,C013,P165,2025-12-12,1,1,광고를 너무 믿었나 봐요. 건성이라 그런지 발랐더니 조금 따가웠어요.,0
O0060,C013,P081,2026-03-22,1,4,고민하다 샀는데 잘 산 것 같아요. 건성인데 자극 없이 잘 썼어요.,0
O0061,C013,P119,2026-05-23,1,5,"재구매입니다. 콜라겐 들어간 거 찾다가 샀는데 만족합니다. 신지아이라고 하고요, 매장 직원분이 친절했어요.",0
O0062,C013,P067,2026-06-10,1,5,고민하다 샀는데 잘 산 것 같아요. 물처럼 묽은 제형이라 아침에 쓰기 좋아요.,0
O0063,C013,P132,2026-07-19,1,4,고민하다 샀는데 잘 산 것 같아요. 콜라겐 들어간 거 찾다가 샀는데 만족합니다.,1
O0064,C014,P142,2025-08-09,1,2,광고를 너무 믿었나 봐요. 용량 대비 가격이 아쉬워요. 재고 문의는 010 2241 3537 로 부탁드려요.,0
O0065,C014,P168,2025-09-12,1,5,샘플 써보고 본품 구매했어요. 복합성인데 자극 없이 잘 썼어요.,0
O0066,C014,P187,2025-10-21,1,4,재구매입니다. 복합성인데 자극 없이 잘 썼어요. 카톡 아이디 dohyun65 입니다.,0
O0067,C014,P055,2025-10-31,1,5,친구가 좋다고 해서 샀는데 만족해요. 복합성인데 자극 없이 잘 썼어요.,0
O0068,C014,P039,2026-07-08,1,5,고민하다 샀는데 잘 산 것 같아요. 눈가가 덜 접힌다는 게 느껴져요.,1
O0069,C015,P181,2025-08-09,1,3,무난해요. 꾸덕한 제형이라 아침에 쓰기 좋아요.,0
O0070,C015,P171,2025-12-06,1,1,저랑은 안 맞았어요. 민감성이라 그런지 발랐더니 조금 따가웠어요.,0
O0071,C015,P066,2026-03-15,1,4,두 통째 쓰는 중이에요. 약산성 아미노산 들어간 거 찾다가 샀는데 만족합니다.,1
O0072,C016,P099,2025-08-19,2,5,샘플 써보고 본품 구매했어요. 향이 세지 않아서 좋아요. 고양 사는 임유진입니다. 배송 빨랐어요.,0
O0073,C016,P062,2025-10-03,1,3,기대가 컸나 봐요. 산뜻한 제형이라 아침에 쓰기 좋아요.,0
O0074,C016,P194,2025-10-15,1,5,두 통째 쓰는 중이에요. 겉돌던 게 없어졌다는 게 느껴져요.,1
O0075,C017,P078,2025-10-06,1,1,광고를 너무 믿었나 봐요. 얼굴이 한 톤 밝아 보인다는 잘 모르겠어요.,0
O0076,C017,P158,2026-01-03,1,4,샘플 써보고 본품 구매했어요. 얼굴이 한 톤 밝아 보인다는 게 느껴져요.,0
O0077,C017,P176,2026-01-27,1,4,친구가 좋다고 해서 샀는데 만족해요. 중성인데 자극 없이 잘 썼어요.,0
O0078,C017,P121,2026-02-24,1,4,고민하다 샀는데 잘 산 것 같아요. 속건조가 덜하다는 게 느껴져요.,0
O0079,C017,P194,2026-04-11,1,5,샘플 써보고 본품 구매했어요. 중성인데 자극 없이 잘 썼어요.,0
O0080,C017,P149,2026-05-28,1,5,친구가 좋다고 해서 샀는데 만족해요. 쌀겨 들어간 거 찾다가 샀는데 만족합니다. 청주 사는 안상우입니다. 배송 빨랐어요.,0
O0081,C017,P072,2026-05-31,1,3,가격 생각하면 이 정도는 하는 것 같아요. 향이 세지 않아서 좋아요.,0
O0082,C017,P073,2026-07-04,1,2,저랑은 안 맞았어요. 중성이라 그런지 발랐더니 조금 따가웠어요.,1
O0083,C018,P155,2025-08-16,1,5,샘플 써보고 본품 구매했어요. 붉은 기가 빨리 가라앉는다는 게 느껴져요. 샘플 문의는 soyul71@example.com 로 주세요.,0
O0084,C018,P016,2025-08-24,1,4,두 통째 쓰는 중이에요. 젤 같은 제형이라 아침에 쓰기 좋아요.,0
O0085,C018,P110,2026-04-15,1,4,두 통째 쓰는 중이에요. 물처럼 묽은 제형이라 아침에 쓰기 좋아요.,0
O0086,C018,P068,2026-05-25,1,5,두 통째 쓰는 중이에요. 민감성인데 자극 없이 잘 썼어요.,0
O0087,C018,P183,2026-06-29,1,1,광고를 너무 믿었나 봐요. 얼굴이 한 톤 밝아 보인다는 잘 모르겠어요.,1
O0088,C019,P019,2025-09-27,1,5,고민하다 샀는데 잘 산 것 같아요. 결이 정돈된 느낌이 든다는 게 느껴져요.,0
O0089,C019,P124,2026-02-28,1,5,고민하다 샀는데 잘 산 것 같아요. 꾸덕한 제형이라 아침에 쓰기 좋아요.,1
O0090,C020,P140,2025-11-30,1,4,재구매입니다. 가볍게 스미는 제형이라 아침에 쓰기 좋아요.,0
O0091,C020,P033,2026-01-06,1,3,"가격 생각하면 이 정도는 하는 것 같아요. 향이 세지 않아서 좋아요. 김보민이라고 하고요, 매장 직원분이 친절했어요.",0
O0092,C020,P074,2026-03-01,1,5,친구가 좋다고 해서 샀는데 만족해요. 레티놀 들어간 거 찾다가 샀는데 만족합니다.,0
O0093,C020,P107,2026-07-18,1,4,고민하다 샀는데 잘 산 것 같아요. 건성인데 자극 없이 잘 썼어요.,1
O0094,C021,P008,2025-07-19,1,3,가격 생각하면 이 정도는 하는 것 같아요. 나이아신아마이드 들어간 거 찾다가 샀는데 만족합니다. 서울 사는 박혜원입니다. 배송 빨랐어요.,0
