product_id,name,brand,category,price,volume,skin_type,ingredient,concern,tags,description
P001,비타민C 필링 로션,피부일기,로션,25400,150ml,지성,비타민C,각질,"대용량,남성용,선물용","맑은 결을 만들어주는 비타민C 성분을 담은 로션입니다. 물처럼 묽은 제형으로 지성에 맞게 설계했고, 무향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P002,나이아신아마이드 트러블 토너,그린포레,토너,26200,150ml,복합성,나이아신아마이드,트러블,"대용량,선물용","칙칙한 기를 덜어주는 나이아신아마이드 성분을 담은 토너입니다. 가볍게 스미는 제형으로 복합성에 맞게 설계했고, 무향입니다. 트러블 고민이 있을 때 올라오던 게 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P003,판테놀 수분 클렌징오일,바른결,클렌징오일,28100,150ml,지성,판테놀,수분,"여행용,저자극","붉은 기를 달래주는 판테놀 성분을 담은 클렌징오일입니다. 가볍게 스미는 제형으로 지성에 맞게 설계했고, 무향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P004,콜라겐 탄력 미스트,그린포레,미스트,32800,100ml,모든 피부,콜라겐,탄력,"대용량,비건","탄력을 채워주는 콜라겐 성분을 담은 미스트입니다. 촉촉하게 감싸는 제형으로 모든 피부에 맞게 설계했고, 은은한 허브 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P005,나이아신아마이드 포어 미스트,순수담,미스트,39400,100ml,민감성,나이아신아마이드,모공,"남성용,비건,대용량","칙칙한 기를 덜어주는 나이아신아마이드 성분을 담은 미스트입니다. 꾸덕한 제형으로 민감성에 맞게 설계했고, 옅은 시트러스 향입니다. 모공 고민이 있을 때 결이 정돈된 느낌이 든다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P006,판테놀 트러블 로션,데일리랩,로션,33100,100ml,건성,판테놀,트러블,대용량,"붉은 기를 달래주는 판테놀 성분을 담은 로션입니다. 젤 같은 제형으로 건성에 맞게 설계했고, 은은한 허브 향입니다. 트러블 고민이 있을 때 올라오던 게 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P007,판테놀 포어 앰플,모이스트랩,앰플,33100,30ml,지성,판테놀,모공,선물용,"붉은 기를 달래주는 판테놀 성분을 담은 앰플입니다. 촉촉하게 감싸는 제형으로 지성에 맞게 설계했고, 은은한 허브 향입니다. 모공 고민이 있을 때 결이 정돈된 느낌이 든다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P008,나이아신아마이드 포어 클렌징오일,데일리랩,클렌징오일,29600,150ml,모든 피부,나이아신아마이드,모공,"남성용,선물용","칙칙한 기를 덜어주는 나이아신아마이드 성분을 담은 클렌징오일입니다. 물처럼 묽은 제형으로 모든 피부에 맞게 설계했고, 무향에 가까운 순한 향입니다. 모공 고민이 있을 때 결이 정돈된 느낌이 든다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P009,약산성 아미노산 수분 로션,피부일기,로션,22800,150ml,민감성,약산성 아미노산,수분,가성비,"당김 없이 씻어내는 약산성 아미노산 성분을 담은 로션입니다. 산뜻한 제형으로 민감성에 맞게 설계했고, 은은한 허브 향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P010,콜라겐 시카 에센스,라온셀,에센스,66800,100ml,지성,콜라겐,진정,"남성용,저자극","탄력을 채워주는 콜라겐 성분을 담은 에센스입니다. 촉촉하게 감싸는 제형으로 지성에 맞게 설계했고, 은은한 허브 향입니다. 진정 고민이 있을 때 붉은 기가 빨리 가라앉는다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
